#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue May 03 14:26:44 EDT 2022,5,5,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun+ , , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest ,
1,Tue May 03 14:26:46 EDT 2022,5,0,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun , , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest ,
2,Tue May 03 14:26:49 EDT 2022,5,0,FunctionParametersTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety+ ListPrintSafety+ MatchingDerivedSafe+ MatchingGivenSafe+ MatchingSafe+ PrintSafety+ SocialDistanceSMLProvided+ ,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,
3,Tue May 03 14:26:49 EDT 2022,5,0,FunctionParametersTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,
4,Tue May 03 14:26:50 EDT 2022,5,0,FunctionReturnValuesTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe+ CurriedMatchingGivenSafe+ CurriedOnceInterpolatedSafe+ CurriedTwiceInterpolatedSafe+ CurryableInterpolatedSafe+ CurryableMatchingSafe+ ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,
5,Tue May 03 14:26:51 EDT 2022,5,0,FunctionReturnValuesTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,
6,Tue May 03 14:26:52 EDT 2022,5,0,ListsAndRecursionTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe ListDerivedSafeSML+ ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,GivenSafeSML InterpolatedSafeSML StyleTest ,
7,Tue May 03 14:26:53 EDT 2022,5,0,FunctionalProgrammingTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML+ InterpolatedSafeSML+ ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,StyleTest ,
8,Tue May 03 14:26:54 EDT 2022,5,0,FunctionalProgrammingTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,StyleTest ,
9,Tue May 03 14:26:55 EDT 2022,5,0,ListsAndRecursionTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,StyleTest ,
