#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Tue May 03 14:26:44 EDT 2022,5,5,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun+ , , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest ,0,0,false, , , ,SMLGreetingLoadAndRun-(10.0/10.0) , ,
1,Tue May 03 14:26:46 EDT 2022,5,0,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun , , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest ,0,1,false, , , ,SMLGreetingLoadAndRun-(10.0/10.0) , ,
2,Tue May 03 14:26:49 EDT 2022,5,0,FunctionParametersTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety+ ListPrintSafety+ MatchingDerivedSafe+ MatchingGivenSafe+ MatchingSafe+ PrintSafety+ SocialDistanceSMLProvided+ ,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,0,2,true,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety ,SocialDistanceSMLProvided , ,ConcisePrintSafety-(0.0/15.0) ListPrintSafety-(0.0/15.0) MatchingDerivedSafe-(0.0/15.0) MatchingGivenSafe-(0.0/15.0) MatchingSafe-(0.0/20.0) PrintSafety-(0.0/20.0) , ,
3,Tue May 03 14:26:49 EDT 2022,5,0,FunctionParametersTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,0,3,true,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety , , ,ConcisePrintSafety-(0.0/15.0) ListPrintSafety-(0.0/15.0) MatchingDerivedSafe-(0.0/15.0) MatchingGivenSafe-(0.0/15.0) MatchingSafe-(0.0/20.0) PrintSafety-(0.0/20.0) , ,
4,Tue May 03 14:26:50 EDT 2022,5,0,FunctionReturnValuesTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe+ CurriedMatchingGivenSafe+ CurriedOnceInterpolatedSafe+ CurriedTwiceInterpolatedSafe+ CurryableInterpolatedSafe+ CurryableMatchingSafe+ ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,0,4,true,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe , , ,CurriedMatchingDerivedSafe-(0.0/7.0) CurriedMatchingGivenSafe-(0.0/7.0) CurriedOnceInterpolatedSafe-(0.0/7.0) CurriedTwiceInterpolatedSafe-(0.0/7.0) CurryableInterpolatedSafe-(0.0/7.0) CurryableMatchingSafe-(0.0/7.0) , ,
5,Tue May 03 14:26:51 EDT 2022,5,0,FunctionReturnValuesTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest ,0,5,true,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe , , ,CurriedMatchingDerivedSafe-(0.0/7.0) CurriedMatchingGivenSafe-(0.0/7.0) CurriedOnceInterpolatedSafe-(0.0/7.0) CurriedTwiceInterpolatedSafe-(0.0/7.0) CurryableInterpolatedSafe-(0.0/7.0) CurryableMatchingSafe-(0.0/7.0) , ,
6,Tue May 03 14:26:52 EDT 2022,5,0,ListsAndRecursionTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe ListDerivedSafeSML+ ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,GivenSafeSML InterpolatedSafeSML StyleTest ,0,6,true,ListDerivedSafeSML , , ,ListDerivedSafeSML-(0.0/15.0) , ,
7,Tue May 03 14:26:53 EDT 2022,5,0,FunctionalProgrammingTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML+ InterpolatedSafeSML+ ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,StyleTest ,0,7,true,GivenSafeSML InterpolatedSafeSML , , ,GivenSafeSML-(0.0/7.0) InterpolatedSafeSML-(0.0/10.0) , ,
8,Tue May 03 14:26:54 EDT 2022,5,0,FunctionalProgrammingTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,StyleTest ,0,8,true,GivenSafeSML InterpolatedSafeSML , , ,GivenSafeSML-(0.0/7.0) InterpolatedSafeSML-(0.0/10.0) , ,
9,Tue May 03 14:26:55 EDT 2022,5,0,ListsAndRecursionTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided ,StyleTest ,0,9,true,ListDerivedSafeSML , , ,ListDerivedSafeSML-(0.0/15.0) , ,
